index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
90,0.0,4746,8962,9728,5728,0.0,5690,9682,10606,6474
89,0.0,4746,9000,9747,5748,0.0,5670,9663,10606,6455
88,0.0,4746,9039,9767,5767,0.0,5641,9644,10597,6416
87,0.0,4756,9049,9776,5796,0.0,5632,9644,10606,6388
86,0.0,4756,9078,9795,5806,0.0,5612,9625,10597,6349
85,0.0,4756,9107,9795,5835,0.0,5583,9597,10606,6340
84,0.0,4756,9136,9824,5854,0.0,5564,9578,10606,6292
83,0.0,4765,9175,9863,5883,0.0,5545,9568,10606,6282
82,0.0,4765,9194,9863,5893,0.0,5526,9549,10587,6273
81,0.0,4765,9223,9892,5912,0.0,5498,9530,10587,6234
80,0.0,4765,9243,9901,5932,0.0,5478,9511,10587,6205
79,0.0,4775,9272,9921,5961,0.0,5469,9502,10577,6196
78,0.0,4785,9291,9930,5970,0.0,5450,9473,10558,6148
77,0.0,4804,9310,9949,5990,0.0,5421,9464,10567,6129
76,0.0,4804,9339,9969,6009,0.0,5402,9436,10538,6090
75,0.0,4823,9368,9988,6029,0.0,5392,9427,10548,6071
74,0.0,4833,9397,9998,6048,0.0,5364,9407,10538,6052
73,0.0,4842,9417,10026,6077,0.0,5354,9378,10538,6033
72,0.0,4861,9436,10036,6087,0.0,5335,9368,10529,6014
71,0.0,4871,9454,10055,6116,0.0,5316,9349,10509,6004
70,0.0,4890,9473,10065,6135,0.0,5306,9330,10500,5985
69,0.0,4900,9492,10075,6145,0.0,5287,9320,10500,5975
68,0.0,4919,9502,10103,6164,0.0,5278,9301,10480,5966
67,0.0,4948,9530,10113,6184,0.0,5258,9291,10470,5937
66,0.0,4957,9540,10123,6203,0.0,5249,9272,10470,5918
65,0.0,4967,9559,10142,6232,0.0,5230,9262,10441,5898
64,0.0,4967,9587,10152,6251,0.0,5230,9243,10422,5889
63,0.0,4986,9597,10161,6261,0.0,5211,9233,10422,5879
62,0.0,5005,9625,10161,6280,0.0,5191,9213,10403,5850
61,0.0,5024,9644,10180,6309,0.0,5191,9204,10383,5841
60,0.0,5034,9663,10190,6329,0.0,5182,9184,10383,5822
59,0.0,5044,9673,10200,6338,0.0,5172,9165,10373,5812
58,0.0,5063,9682,10200,6358,0.0,5163,9146,10325,5793
57,0.0,5082,9701,10219,6377,0.0,5163,9146,10315,5774
56,0.0,5111,9720,10219,6406,0.0,5144,9126,10325,5764
55,0.0,5130,9730,10238,6426,0.0,5134,9097,10296,5755
54,0.0,5140,9739,10248,6455,0.0,5134,9078,10276,5726
53,0.0,5159,9758,10257,6464,0.0,5124,9068,10257,5726
52,0.0,5178,9777,10257,6484,0.0,5105,9059,10257,5707
51,0.0,5197,9787,10267,6513,0.0,5096,9039,10228,5649
50,0.0,5216,9806,10267,6522,0.0,5096,9020,10208,5678
49,0.0,5245,9806,10277,6552,0.0,5086,9010,10199,5668
48,0.0,5255,9825,10286,6561,0.0,5077,8991,10170,5659
47,0.0,5274,9844,10296,6590,0.0,5067,8971,10170,5649
46,0.0,5293,9863,10306,6600,0.0,5067,8952,10150,5630
45,0.0,5312,9872,10306,6619,0.0,5057,8933,10141,5611
44,0.0,5331,9891,10315,6639,0.0,5048,8913,10121,5611
43,0.0,5351,9901,10325,6668,0.0,5048,8894,10102,5601
42,0.0,5370,9901,10325,6677,0.0,5048,8875,10092,5591
41,0.0,5389,9910,10334,6677,0.0,5038,8855,10082,5573
